matrix_group,scale,instance_id,mode,algorithm_status,certificate_scope,pricing_state,uses_true_dual_bpc_certificate,bpc_certificate_status,official_lower_bound_source,official_lower_bound_scope,best_diagnostic_bound_source,B0_direct_objective,B1_root_lp_bound,root_lp_bound_official,root_lp_bound_le_direct_dp_integer_objective,root_lp_vs_direct_dp_gap,integral_root,pricing_round_count,added_column_count,manual_rc_audit_pass,pricing_rc_audit_pass,proof_debt_unreleased_count,wall_time,fail_closed_reason,direct_root_official_leak,b1_mode,seed_mode,initial_column_count,full_universe_column_count,full_universe_preloaded
5-scale full,5,lunar_ice_sp50_005_005_seed679011,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1182.368403,1182.368403,True,True,0.0,True,1,0,True,True,0,0.175888,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_005_seed679011,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1182.368403,1182.368403,True,True,0.0,True,3,21,True,True,0,0.239341,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_007_seed679013,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1400.622149,,False,,,,0,0,,,0,0.002763,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_007_seed679013,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1400.622149,1400.622149,True,True,0.0,True,1,0,True,True,0,0.261406,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_007_seed679013,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1400.622149,1400.622149,True,True,0.0,True,4,20,True,True,0,0.333983,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_006_seed679032,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1244.612406,,False,,,,0,0,,,0,0.003663,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_006_seed679032,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1244.612406,1244.612406,True,True,0.0,True,1,0,True,True,0,0.138881,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_006_seed679032,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1244.612406,1244.612406,True,True,0.0,True,3,21,True,True,0,0.201227,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_008_seed679014,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1579.649799,,False,,,,0,0,,,0,0.005159,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_008_seed679014,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1579.649799,1579.649799,True,True,0.0,True,1,0,True,True,0,0.262727,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_008_seed679014,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1579.649799,1579.649799,True,True,0.0,True,4,21,True,True,0,0.382246,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_004_seed679030,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1233.389303,,False,,,,0,0,,,0,0.003789,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_004_seed679030,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1233.389303,1233.389303,True,True,0.0,True,1,0,True,True,0,0.14192,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_004_seed679030,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1233.389303,1233.389303,True,True,0.0,True,3,19,True,True,0,0.216512,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_009_seed679015,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1513.217855,,False,,,,0,0,,,0,0.005233,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_009_seed679015,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1513.217855,1513.217855,True,True,0.0,True,1,0,True,True,0,0.226409,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_009_seed679015,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1513.217855,1513.217855,True,True,0.0,True,3,18,True,True,0,0.271104,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_012_seed679018,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1431.520203,,False,,,,0,0,,,0,0.011002,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_012_seed679018,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1431.520203,1431.520203,True,True,0.0,True,1,0,True,True,0,0.250289,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_012_seed679018,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1431.520203,1431.520203,True,True,0.0,True,3,19,True,True,0,0.362432,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_010_seed679016,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1340.689732,,False,,,,0,0,,,0,0.006685,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_010_seed679016,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1340.689732,1340.689732,True,True,0.0,True,1,0,True,True,0,0.180843,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_010_seed679016,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1340.689732,1340.689732,True,True,0.0,True,3,21,True,True,0,0.250857,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_011_seed679017,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1432.954994,,False,,,,0,0,,,0,0.004946,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_011_seed679017,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1432.954994,1432.954994,True,True,0.0,True,1,0,True,True,0,0.303909,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_011_seed679017,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1432.954994,1432.954994,True,True,0.0,True,3,20,True,True,0,0.391407,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_013_seed679019,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1573.234918,,False,,,,0,0,,,0,0.005303,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_013_seed679019,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1573.234918,1573.234918,True,True,0.0,True,1,0,True,True,0,0.238416,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_013_seed679019,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1573.234918,1573.234918,True,True,0.0,True,3,17,True,True,0,0.324869,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_014_seed679020,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1544.987555,,False,,,,0,0,,,0,0.006737,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_014_seed679020,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1544.987555,1544.987555,True,True,0.0,True,1,0,True,True,0,0.303416,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_014_seed679020,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1544.987555,1544.987555,True,True,0.0,True,3,21,True,True,0,0.378473,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_015_seed679021,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1529.573117,,False,,,,0,0,,,0,0.003604,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_015_seed679021,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1529.573117,1529.573117,True,True,0.0,True,1,0,True,True,0,0.160502,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_015_seed679021,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1529.573117,1529.573117,True,True,0.0,True,4,20,True,True,0,0.216382,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_019_seed679025,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1158.248056,,False,,,,0,0,,,0,0.003703,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_019_seed679025,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1158.248056,1158.248056,True,True,0.0,True,1,0,True,True,0,0.170597,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_019_seed679025,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1158.248056,1158.248056,True,True,0.0,True,3,21,True,True,0,0.232284,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_016_seed679062,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1071.627935,,False,,,,0,0,,,0,0.004632,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_016_seed679062,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1071.627935,1071.627935,True,True,0.0,True,1,0,True,True,0,0.109673,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_016_seed679062,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1071.627935,1071.627935,True,True,0.0,True,3,21,True,True,0,0.168356,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_020_seed679026,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1330.682244,,False,,,,0,0,,,0,0.005054,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_020_seed679026,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1330.682244,1330.682244,True,True,0.0,True,1,0,True,True,0,0.159431,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_020_seed679026,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1330.682244,1330.682244,True,True,0.0,True,3,21,True,True,0,0.228987,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_018_seed679064,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,956.173707,,False,,,,0,0,,,0,0.005779,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_018_seed679064,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,956.173707,956.173707,True,True,0.0,True,1,0,True,True,0,0.182331,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_018_seed679064,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,956.173707,956.173707,True,True,0.0,True,4,18,True,True,0,0.309432,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
5-scale full,5,lunar_ice_sp50_005_017_seed679123,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,1255.420499,,False,,,,0,0,,,0,0.007383,,False,,,,,
5-scale full,5,lunar_ice_sp50_005_017_seed679123,B1A_full_universe_root_audit,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1255.420499,1255.420499,True,True,0.0,True,1,0,True,True,0,0.227211,,False,B1A_full_universe_root_audit,full_universe,31,31,True
5-scale full,5,lunar_ice_sp50_005_017_seed679123,B1B_seeded_root_CG,BPC_GAP_AVAILABLE,BPC_NODE_LP_CERTIFIED,CERTIFIED_NO_NEGATIVE,True,CERTIFIED_NO_NEGATIVE,b1_root_true_dual_pricing_closure,BPC_NODE_LP_CERTIFIED,,1255.420499,1255.420499,True,True,0.0,True,3,21,True,True,0,0.35175,,False,B1B_seeded_root_CG,b0_incumbent_plus_singletons,6,31,False
10-scale selected5,10,lunar_ice_sp50_010_004_seed729004,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2434.053897,,False,,,,0,0,,,0,0.116999,,False,,,,,
10-scale selected5,10,lunar_ice_sp50_010_004_seed729004,B1A_full_universe_root_audit,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,,False,,,,0,0,,,0,30.002256,row_time_limit_sec=30.0 exceeded at max_direct_tasks=10,False,,,,,
10-scale selected5,10,lunar_ice_sp50_010_004_seed729004,B1B_seeded_root_CG,BPC_INCOMPLETE_PRICING,FEASIBLE_INCUMBENT_ONLY,INCOMPLETE_LIMIT,False,NOT_PORTED_TRUE_DUAL_BPC,,,,,,False,,,,0,0,,,0,30.018118,row_time_limit_sec=30.0 exceeded at max_direct_tasks=10,False,,,,,
10-scale selected5,10,lunar_ice_sp50_010_002_seed729002,B0_pure_direct_dp,DIRECT_DP_BASELINE_OPTIMAL,DIRECT_DP_FIXED_GRAPH_OPTIMAL,,False,NOT_PORTED_TRUE_DUAL_BPC,analytic_relaxation,global_relaxation,direct_fixed_graph_root_lp,2458.986666,,False,,,,0,0,,,0,0.060122,,False,,,,,
